color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,num_user_for_reviews,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,genre,Title
0,1,620,723.0,178.0,0.0,855.0,1002,1000.0,760505847.0,189,886204,4834,2529,0.0,3054.0,43,7,237000000.0,2009.0,936.0,7.9,1.78,33000,0,Avatar 
1,1,538,302.0,169.0,563.0,1000.0,1592,40000.0,309404152.0,687,471220,48350,1001,0.0,1238.0,43,7,300000000.0,2007.0,5000.0,7.1,2.35,0,0,Pirates of the Caribbean: At World's End 
2,1,1395,602.0,148.0,0.0,161.0,1795,11000.0,200074175.0,258,275868,11700,2296,1.0,994.0,42,7,245000000.0,2015.0,393.0,6.8,2.35,85000,14,Spectre 
3,1,251,813.0,164.0,22000.0,23000.0,381,27000.0,448130642.0,1340,1144337,106759,1267,0.0,2701.0,43,7,250000000.0,2012.0,23000.0,8.5,2.35,164000,14,The Dark Knight Rises 
5,1,62,462.0,132.0,475.0,530.0,1837,640.0,73058679.0,323,212204,1873,1967,1.0,738.0,43,7,263700000.0,2012.0,632.0,6.6,2.35,24000,0,John Carter 
6,1,1398,392.0,156.0,0.0,4000.0,880,24000.0,336530303.0,555,383056,46055,1414,0.0,1902.0,43,7,258000000.0,2007.0,11000.0,6.2,2.35,0,0,Spider-Man 3 
7,1,1125,324.0,100.0,15.0,284.0,578,799.0,200807262.0,158,294810,2036,1543,1.0,387.0,43,6,260000000.0,2010.0,553.0,7.8,1.85,29000,3,Tangled 
8,1,839,635.0,141.0,0.0,19000.0,1758,26000.0,458991599.0,244,462669,92000,2211,4.0,1117.0,43,7,250000000.0,2015.0,21000.0,7.5,2.35,118000,0,Avengers: Age of Ultron 
9,1,364,375.0,153.0,282.0,10000.0,469,25000.0,301956980.0,21,321795,58753,2156,3.0,973.0,42,6,250000000.0,2009.0,11000.0,7.5,2.35,10000,1,Harry Potter and the Half-Blood Prince 
10,1,1654,673.0,183.0,0.0,2000.0,1222,15000.0,330249062.0,523,371639,24450,32,0.0,3018.0,43,7,250000000.0,2016.0,4000.0,6.9,2.35,197000,0,Batman v Superman: Dawn of Justice 
11,1,185,434.0,169.0,0.0,903.0,1366,18000.0,200069408.0,771,240396,29991,806,0.0,2367.0,43,7,209000000.0,2006.0,10000.0,6.1,2.35,0,0,Superman Returns 
12,1,968,403.0,106.0,395.0,393.0,1391,451.0,168368427.0,487,330784,2023,2135,1.0,1243.0,42,7,200000000.0,2008.0,412.0,6.7,2.35,0,0,Quantum of Solace 
13,1,538,313.0,151.0,563.0,1000.0,1592,40000.0,423032628.0,687,522040,48486,1001,2.0,1832.0,43,7,225000000.0,2006.0,5000.0,7.3,2.35,5000,0,Pirates of the Caribbean: Dead Man's Chest 
14,1,538,450.0,150.0,563.0,1000.0,1813,40000.0,89289910.0,687,181792,45757,2434,1.0,711.0,43,7,215000000.0,2013.0,2000.0,6.5,2.35,48000,0,The Lone Ranger 
15,1,1654,733.0,143.0,0.0,748.0,394,15000.0,291021565.0,523,548573,20495,923,0.0,2536.0,43,7,225000000.0,2013.0,3000.0,7.2,2.35,118000,0,Man of Steel 
